Pixel No,Average,SD,RSD,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
0,36.100000,4.653553,12.890729,    42,    34,    40,    34,    32,    33,    37,    28,    42,    39
1,23.000000,4.760952,20.699793,    27,    27,    32,    19,    20,    25,    17,    19,    24,    20
2,30.700000,3.802046,12.384515,    32,    32,    28,    25,    28,    34,    31,    27,    38,    32
3,30.400000,3.438346,11.310348,    36,    31,    29,    24,    27,    32,    34,    29,    30,    32
4,812.400000,50.552943,6.222666,   759,   805,   873,   773,   759,   882,   814,   752,   845,   862
5,1028.400000,67.623467,6.575600,   953,  1022,  1102,   996,   954,  1122,  1040,   937,  1056,  1102
6,1089.400000,79.511285,7.298631,  1002,  1087,  1194,  1040,  1006,  1188,  1074,   993,  1132,  1178
7,1116.000000,77.359191,6.931827,  1049,  1094,  1227,  1062,  1032,  1211,  1129,  1016,  1142,  1198
8,1124.700000,75.508719,6.713676,  1056,  1121,  1242,  1067,  1037,  1202,  1121,  1035,  1161,  1205
9,1137.800000,70.966033,6.237127,  1064,  1135,  1236,  1086,  1058,  1222,  1157,  1046,  1172,  1202
10,1139.100000,73.057740,6.413637,  1078,  1116,  1251,  1086,  1068,  1227,  1159,  1041,  1152,  1213
11,1143.800000,76.628686,6.699483,  1079,  1138,  1232,  1088,  1047,  1240,  1159,  1043,  1184,  1228
12,1153.900000,74.493027,6.455761,  1061,  1143,  1266,  1111,  1074,  1234,  1172,  1068,  1182,  1228
13,1158.400000,71.101180,6.137878,  1085,  1164,  1246,  1107,  1092,  1254,  1167,  1058,  1177,  1234
14,1164.500000,72.940234,6.263653,  1091,  1156,  1253,  1109,  1097,  1254,  1178,  1062,  1195,  1250
15,1173.000000,73.933904,6.302976,  1090,  1170,  1257,  1143,  1093,  1281,  1168,  1075,  1205,  1248
16,1173.100000,77.517668,6.607934,  1085,  1175,  1264,  1114,  1082,  1266,  1191,  1083,  1209,  1262
17,1182.800000,78.741208,6.657187,  1112,  1179,  1279,  1121,  1096,  1279,  1198,  1078,  1208,  1278
18,1180.200000,80.806765,6.846870,  1106,  1161,  1285,  1112,  1090,  1285,  1208,  1080,  1218,  1257
19,1182.500000,71.433341,6.040875,  1110,  1198,  1263,  1120,  1100,  1278,  1195,  1094,  1212,  1255
20,1185.500000,77.686335,6.553044,  1099,  1195,  1279,  1128,  1102,  1280,  1203,  1081,  1225,  1263
21,1186.700000,80.520598,6.785253,  1081,  1192,  1266,  1134,  1115,  1296,  1219,  1078,  1213,  1273
22,1191.800000,84.948089,7.127713,  1094,  1195,  1304,  1138,  1091,  1314,  1200,  1100,  1214,  1268
23,1196.900000,80.964258,6.764496,  1110,  1201,  1302,  1149,  1098,  1283,  1202,  1096,  1235,  1293
