Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,10


Pixel No,WaveLength(nm),Average,SD,RSD,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
0,2.000,28.800000,4.341019,15.072982,    24,    25,    28,    34,    29,    31,    30,    37,    24,    26
1,3.052,28.300000,3.267687,11.546597,    24,    27,    33,    28,    28,    33,    28,    30,    29,    23
2,4.218,29.600000,3.864367,13.055294,    29,    25,    31,    27,    29,    36,    33,    32,    23,    31
3,5.512,32.300000,2.057507,6.369989,    35,    33,    31,    35,    33,    34,    32,    30,    31,    29
4,6.947,557.200000,16.376134,2.939005,   596,   540,   551,   553,   562,   569,   548,   554,   540,   559
5,8.537,688.000000,18.129166,2.635053,   727,   682,   662,   691,   700,   701,   680,   671,   683,   683
6,10.297,722.500000,18.780900,2.599433,   760,   719,   708,   712,   742,   739,   710,   707,   703,   725
7,12.239,735.900000,20.588292,2.797702,   780,   720,   724,   725,   744,   759,   724,   722,   717,   744
8,14.378,743.500000,24.272756,3.264661,   798,   729,   716,   733,   762,   761,   722,   735,   735,   744
9,16.727,747.700000,20.439885,2.733701,   794,   724,   735,   752,   755,   756,   739,   735,   728,   759
10,19.300,749.000000,24.738634,3.302888,   802,   730,   737,   748,   760,   764,   722,   736,   724,   767
11,22.111,748.100000,20.920219,2.796447,   792,   734,   735,   734,   755,   762,   747,   722,   734,   766
12,25.174,757.000000,23.414146,3.093018,   807,   750,   733,   756,   771,   762,   738,   729,   748,   776
13,28.503,761.000000,22.080660,2.901532,   816,   740,   751,   761,   761,   767,   744,   753,   744,   773
14,32.111,759.000000,22.769375,2.999918,   813,   759,   736,   749,   767,   767,   755,   730,   749,   765
15,36.013,761.700000,19.049934,2.500976,   807,   754,   752,   754,   768,   774,   750,   737,   755,   766
16,40.221,762.600000,17.296114,2.268045,   797,   754,   747,   756,   768,   784,   753,   762,   739,   766
17,44.750,762.200000,19.251551,2.525787,   804,   750,   743,   767,   768,   777,   750,   738,   757,   768
18,49.614,764.000000,17.763883,2.325116,   798,   754,   758,   743,   780,   780,   753,   745,   757,   772
19,54.826,762.900000,24.406056,3.199116,   814,   743,   748,   757,   782,   775,   753,   740,   737,   780
20,60.400,764.100000,26.014739,3.404625,   828,   750,   741,   754,   776,   782,   745,   750,   752,   763
21,66.350,763.300000,21.782001,2.853662,   812,   746,   742,   759,   770,   780,   749,   748,   750,   777
22,72.690,766.200000,22.044400,2.877108,   810,   752,   755,   754,   784,   787,   755,   745,   743,   777
23,79.434,770.300000,20.314472,2.637216,   810,   750,   759,   756,   787,   785,   767,   751,   753,   785
24,86.595,765.500000,22.824207,2.981608,   818,   751,   745,   765,   775,   779,   753,   754,   740,   775
25,94.188,765.800000,16.314956,2.130446,   799,   753,   756,   755,   781,   783,   753,   758,   753,   767
26,102.225,767.500000,20.211383,2.633405,   810,   753,   756,   754,   773,   790,   760,   748,   752,   779
27,110.721,764.400000,26.883287,3.516914,   821,   752,   753,   762,   779,   780,   748,   725,   743,   781
28,119.690,765.500000,27.601328,3.605660,   823,   738,   737,   761,   776,   783,   757,   741,   749,   790
29,129.145,766.700000,23.079813,3.010280,   814,   752,   742,   759,   776,   789,   770,   746,   743,   776
30,139.100,761.100000,26.383707,3.466523,   822,   738,   756,   749,   772,   768,   748,   740,   736,   782
31,149.569,763.900000,23.463684,3.071565,   821,   746,   748,   752,   769,   774,   762,   749,   742,   776
32,160.566,755.500000,21.459264,2.840406,   793,   733,   738,   763,   771,   783,   747,   736,   735,   756
33,172.105,758.700000,21.802395,2.873652,   804,   738,   734,   748,   782,   761,   758,   737,   759,   766
34,184.199,753.100000,19.935730,2.647156,   803,   747,   743,   756,   755,   755,   750,   730,   734,   758
35,196.863,756.700000,21.633564,2.858935,   805,   754,   733,   750,   769,   763,   731,   760,   738,   764
36,210.109,750.700000,22.915545,3.052557,   807,   737,   734,   737,   757,   768,   747,   729,   742,   749
37,223.952,751.000000,23.295207,3.101892,   800,   725,   738,   740,   774,   772,   738,   736,   739,   748
38,238.406,747.400000,22.202102,2.970578,   797,   724,   729,   738,   765,   758,   741,   728,   738,   756
39,253.484,746.300000,22.020445,2.950616,   790,   730,   719,   752,   741,   766,   728,   729,   743,   765
40,269.200,741.500000,23.358320,3.150144,   789,   720,   726,   727,   751,   752,   735,   710,   741,   764
41,285.568,741.500000,25.369492,3.421374,   799,   730,   718,   722,   747,   766,   736,   719,   728,   750
42,302.602,740.000000,21.317703,2.880771,   791,   724,   722,   736,   754,   752,   730,   724,   726,   741
43,320.316,739.600000,21.339582,2.885287,   788,   727,   722,   737,   744,   753,   715,   722,   736,   752
44,338.723,735.100000,20.534253,2.793396,   774,   724,   708,   730,   753,   752,   725,   713,   726,   746
45,357.837,734.400000,18.751000,2.553241,   771,   716,   713,   727,   747,   757,   732,   720,   725,   736
46,377.673,728.300000,19.894444,2.731628,   765,   712,   705,   721,   739,   736,   729,   713,   710,   753
47,398.243,727.400000,25.936675,3.565669,   781,   709,   713,   707,   745,   752,   718,   697,   714,   738
48,419.562,728.900000,22.815443,3.130120,   782,   716,   710,   729,   735,   737,   719,   710,   706,   745
49,441.643,724.000000,23.146874,3.197082,   774,   713,   694,   718,   746,   737,   719,   709,   705,   725
50,464.500,721.600000,21.960571,3.043316,   772,   707,   698,   708,   729,   739,   703,   713,   718,   729
51,488.147,721.700000,22.514440,3.119640,   776,   716,   706,   718,   728,   737,   705,   705,   700,   726
52,512.598,715.200000,20.660214,2.888732,   764,   698,   703,   700,   724,   731,   700,   712,   701,   719
53,537.867,716.700000,24.693904,3.445501,   776,   700,   699,   714,   729,   725,   693,   693,   716,   722
54,563.967,713.500000,19.529180,2.737096,   757,   695,   701,   704,   720,   729,   708,   707,   691,   723
55,590.913,715.700000,24.747839,3.457851,   773,   690,   704,   709,   735,   724,   702,   691,   706,   723
56,618.717,711.300000,22.769619,3.201127,   770,   698,   699,   709,   704,   717,   711,   687,   699,   719
57,647.394,712.200000,22.354716,3.138826,   765,   695,   696,   716,   721,   717,   696,   713,   685,   718
58,676.958,704.700000,24.111086,3.421468,   764,   691,   696,   687,   726,   705,   700,   686,   687,   705
59,707.422,704.200000,21.222629,3.013722,   753,   694,   687,   693,   709,   709,   695,   680,   698,   724
60,738.800,706.100000,18.351203,2.598952,   748,   684,   704,   704,   704,   711,   691,   690,   703,   722
61,771.106,708.500000,21.371060,3.016381,   759,   690,   702,   703,   709,   716,   701,   682,   699,   724
62,804.354,705.700000,22.862147,3.239641,   760,   684,   691,   695,   719,   720,   701,   683,   704,   700
63,838.558,702.800000,22.129919,3.148822,   750,   671,   696,   695,   711,   725,   700,   682,   695,   703
64,873.731,699.000000,18.287822,2.616284,   737,   676,   684,   695,   708,   712,   691,   679,   700,   708
65,909.887,701.100000,23.661737,3.374945,   754,   676,   679,   701,   706,   716,   688,   678,   699,   714
66,947.041,700.000000,24.064728,3.437818,   751,   668,   681,   704,   718,   711,   697,   676,   688,   706
67,985.205,699.300000,21.787101,3.115559,   750,   694,   671,   696,   717,   704,   687,   681,   693,   700
68,1024.394,695.200000,20.563182,2.957880,   743,   682,   673,   690,   708,   708,   683,   684,   681,   700
69,1064.621,698.900000,24.002083,3.434266,   754,   675,   681,   700,   700,   723,   683,   682,   688,   703
70,1105.900,693.400000,21.521049,3.103699,   741,   672,   681,   688,   698,   713,   674,   675,   688,   704
71,1148.245,698.500000,26.692696,3.821431,   755,   686,   676,   682,   720,   726,   685,   677,   678,   700
72,1191.670,696.200000,21.358319,3.067842,   741,   667,   686,   689,   716,   709,   687,   687,   678,   702
73,1236.189,697.300000,18.511558,2.654748,   738,   675,   688,   690,   711,   704,   691,   679,   689,   708
74,1281.815,695.100000,22.153254,3.187060,   748,   693,   675,   697,   698,   709,   683,   668,   684,   696
