Pixel No,Average,L1
0,42.000000,    42
1,27.000000,    27
2,32.000000,    32
3,36.000000,    36
4,759.000000,   759
5,953.000000,   953
6,1002.000000,  1002
7,1049.000000,  1049
8,1056.000000,  1056
9,1064.000000,  1064
10,1078.000000,  1078
11,1079.000000,  1079
12,1061.000000,  1061
13,1085.000000,  1085
14,1091.000000,  1091
15,1090.000000,  1090
16,1085.000000,  1085
17,1112.000000,  1112
18,1106.000000,  1106
19,1110.000000,  1110
20,1099.000000,  1099
21,1081.000000,  1081
22,1094.000000,  1094
23,1110.000000,  1110
24,1104.000000,  1104
25,1116.000000,  1116
26,1111.000000,  1111
27,1133.000000,  1133
28,1134.000000,  1134
29,1116.000000,  1116
30,1122.000000,  1122
31,1130.000000,  1130
32,1120.000000,  1120
33,1112.000000,  1112
34,1122.000000,  1122
35,1131.000000,  1131
36,1144.000000,  1144
37,1114.000000,  1114
38,1139.000000,  1139
39,1125.000000,  1125
40,1129.000000,  1129
41,1141.000000,  1141
42,1137.000000,  1137
43,1141.000000,  1141
44,1157.000000,  1157
45,1141.000000,  1141
46,1156.000000,  1156
47,1142.000000,  1142
48,1141.000000,  1141
49,1145.000000,  1145
50,1150.000000,  1150
51,1135.000000,  1135
52,1163.000000,  1163
53,1149.000000,  1149
54,1151.000000,  1151
55,1148.000000,  1148
56,1128.000000,  1128
57,1153.000000,  1153
58,1154.000000,  1154
59,1166.000000,  1166
60,1166.000000,  1166
61,1125.000000,  1125
62,1154.000000,  1154
63,1153.000000,  1153
64,1168.000000,  1168
65,1159.000000,  1159
66,1131.000000,  1131
67,1151.000000,  1151
68,1149.000000,  1149
69,1154.000000,  1154
70,1159.000000,  1159
71,1158.000000,  1158
72,1165.000000,  1165
73,1163.000000,  1163
74,1153.000000,  1153
75,1171.000000,  1171
76,1154.000000,  1154
77,1159.000000,  1159
78,1158.000000,  1158
79,1158.000000,  1158
80,1174.000000,  1174
81,1166.000000,  1166
82,1165.000000,  1165
83,1161.000000,  1161
84,1165.000000,  1165
85,1175.000000,  1175
86,1170.000000,  1170
87,1154.000000,  1154
88,1164.000000,  1164
89,1174.000000,  1174
90,1158.000000,  1158
91,1161.000000,  1161
92,1176.000000,  1176
93,1192.000000,  1192
94,1161.000000,  1161
95,1169.000000,  1169
96,1178.000000,  1178
97,1163.000000,  1163
98,1164.000000,  1164
99,1173.000000,  1173
100,1162.000000,  1162
101,1178.000000,  1178
102,1155.000000,  1155
103,1187.000000,  1187
104,1179.000000,  1179
105,1172.000000,  1172
106,1164.000000,  1164
107,1194.000000,  1194
108,1182.000000,  1182
109,1180.000000,  1180
110,1175.000000,  1175
111,1176.000000,  1176
112,1193.000000,  1193
113,1201.000000,  1201
114,1205.000000,  1205
115,1185.000000,  1185
116,1186.000000,  1186
117,1187.000000,  1187
118,1191.000000,  1191
119,1192.000000,  1192
120,1184.000000,  1184
121,1188.000000,  1188
122,1198.000000,  1198
123,1187.000000,  1187
124,1191.000000,  1191
125,1193.000000,  1193
126,1195.000000,  1195
127,1212.000000,  1212
128,1231.000000,  1231
129,1211.000000,  1211
130,1217.000000,  1217
131,1218.000000,  1218
132,1199.000000,  1199
133,1209.000000,  1209
134,1203.000000,  1203
135,1223.000000,  1223
136,1206.000000,  1206
137,1218.000000,  1218
138,1221.000000,  1221
139,1245.000000,  1245
140,1223.000000,  1223
141,1217.000000,  1217
142,1221.000000,  1221
143,1234.000000,  1234
144,1232.000000,  1232
145,1246.000000,  1246
146,1247.000000,  1247
147,1249.000000,  1249
148,1240.000000,  1240
149,1235.000000,  1235
150,1230.000000,  1230
