Type:,PIXEL DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,Average,L1
0,29.000000,    29
1,24.000000,    24
2,26.000000,    26
3,33.000000,    33
4,581.000000,   581
5,695.000000,   695
6,735.000000,   735
7,760.000000,   760
8,768.000000,   768
9,771.000000,   771
10,781.000000,   781
11,781.000000,   781
12,774.000000,   774
13,770.000000,   770
14,771.000000,   771
15,781.000000,   781
16,796.000000,   796
17,786.000000,   786
18,788.000000,   788
19,790.000000,   790
20,798.000000,   798
21,797.000000,   797
22,793.000000,   793
23,781.000000,   781
24,796.000000,   796
25,808.000000,   808
26,778.000000,   778
27,788.000000,   788
28,791.000000,   791
29,790.000000,   790
30,796.000000,   796
31,788.000000,   788
32,787.000000,   787
33,766.000000,   766
34,788.000000,   788
35,775.000000,   775
36,770.000000,   770
37,793.000000,   793
38,759.000000,   759
39,775.000000,   775
40,765.000000,   765
41,752.000000,   752
42,760.000000,   760
43,743.000000,   743
44,743.000000,   743
45,760.000000,   760
46,765.000000,   765
47,762.000000,   762
48,748.000000,   748
49,737.000000,   737
50,751.000000,   751
51,747.000000,   747
52,731.000000,   731
53,736.000000,   736
54,752.000000,   752
55,733.000000,   733
56,731.000000,   731
57,719.000000,   719
58,708.000000,   708
59,728.000000,   728
60,735.000000,   735
61,728.000000,   728
62,721.000000,   721
63,736.000000,   736
64,723.000000,   723
65,717.000000,   717
66,721.000000,   721
67,718.000000,   718
68,727.000000,   727
69,732.000000,   732
70,726.000000,   726
71,727.000000,   727
72,731.000000,   731
73,706.000000,   706
74,717.000000,   717
75,717.000000,   717
76,711.000000,   711
77,719.000000,   719
78,711.000000,   711
79,716.000000,   716
80,717.000000,   717
81,725.000000,   725
82,717.000000,   717
83,727.000000,   727
84,716.000000,   716
85,702.000000,   702
86,700.000000,   700
87,704.000000,   704
88,712.000000,   712
89,712.000000,   712
90,714.000000,   714
91,723.000000,   723
92,723.000000,   723
93,732.000000,   732
94,716.000000,   716
95,722.000000,   722
96,707.000000,   707
97,708.000000,   708
98,721.000000,   721
99,714.000000,   714
100,702.000000,   702
101,715.000000,   715
102,723.000000,   723
103,720.000000,   720
104,726.000000,   726
105,710.000000,   710
106,712.000000,   712
107,717.000000,   717
108,721.000000,   721
109,731.000000,   731
110,734.000000,   734
111,719.000000,   719
112,718.000000,   718
113,713.000000,   713
114,698.000000,   698
115,725.000000,   725
116,726.000000,   726
117,722.000000,   722
118,725.000000,   725
119,723.000000,   723
120,723.000000,   723
121,719.000000,   719
122,726.000000,   726
123,738.000000,   738
124,716.000000,   716
125,722.000000,   722
126,716.000000,   716
127,726.000000,   726
128,723.000000,   723
129,727.000000,   727
130,742.000000,   742
131,720.000000,   720
132,719.000000,   719
133,719.000000,   719
134,730.000000,   730
135,722.000000,   722
136,719.000000,   719
137,732.000000,   732
138,725.000000,   725
139,727.000000,   727
140,736.000000,   736
141,722.000000,   722
142,735.000000,   735
143,729.000000,   729
144,741.000000,   741
145,736.000000,   736
146,722.000000,   722
147,728.000000,   728
148,734.000000,   734
149,727.000000,   727
150,710.000000,   710
151,735.000000,   735
152,727.000000,   727
153,742.000000,   742
154,714.000000,   714
155,723.000000,   723
156,718.000000,   718
157,733.000000,   733
158,726.000000,   726
159,729.000000,   729
160,735.000000,   735
161,735.000000,   735
162,747.000000,   747
163,734.000000,   734
164,738.000000,   738
165,738.000000,   738
166,728.000000,   728
167,729.000000,   729
168,733.000000,   733
169,745.000000,   745
170,730.000000,   730
171,740.000000,   740
172,728.000000,   728
173,727.000000,   727
174,733.000000,   733
175,721.000000,   721
176,723.000000,   723
177,733.000000,   733
178,728.000000,   728
179,741.000000,   741
180,725.000000,   725
181,727.000000,   727
182,733.000000,   733
183,735.000000,   735
184,739.000000,   739
185,724.000000,   724
186,732.000000,   732
187,731.000000,   731
188,735.000000,   735
189,729.000000,   729
190,730.000000,   730
191,721.000000,   721
192,728.000000,   728
193,721.000000,   721
194,719.000000,   719
195,730.000000,   730
196,739.000000,   739
197,741.000000,   741
198,738.000000,   738
199,727.000000,   727
200,739.000000,   739
201,734.000000,   734
202,728.000000,   728
203,725.000000,   725
204,748.000000,   748
205,731.000000,   731
206,730.000000,   730
207,744.000000,   744
208,738.000000,   738
209,747.000000,   747
210,728.000000,   728
211,738.000000,   738
212,744.000000,   744
213,728.000000,   728
214,740.000000,   740
215,732.000000,   732
216,736.000000,   736
217,733.000000,   733
218,745.000000,   745
219,734.000000,   734
220,741.000000,   741
221,736.000000,   736
222,729.000000,   729
223,741.000000,   741
224,744.000000,   744
225,733.000000,   733
226,741.000000,   741
227,728.000000,   728
228,746.000000,   746
229,732.000000,   732
230,731.000000,   731
231,725.000000,   725
232,737.000000,   737
233,745.000000,   745
234,740.000000,   740
235,731.000000,   731
236,734.000000,   734
237,737.000000,   737
238,735.000000,   735
239,743.000000,   743
240,744.000000,   744
241,739.000000,   739
242,739.000000,   739
243,740.000000,   740
244,741.000000,   741
245,734.000000,   734
246,735.000000,   735
247,763.000000,   763
248,745.000000,   745
249,752.000000,   752
250,740.000000,   740
251,729.000000,   729
252,738.000000,   738
253,740.000000,   740
254,727.000000,   727
255,747.000000,   747
256,734.000000,   734
257,738.000000,   738
258,742.000000,   742
259,737.000000,   737
260,732.000000,   732
261,744.000000,   744
262,736.000000,   736
263,736.000000,   736
264,733.000000,   733
265,723.000000,   723
266,742.000000,   742
267,733.000000,   733
268,741.000000,   741
269,743.000000,   743
270,741.000000,   741
271,745.000000,   745
272,745.000000,   745
273,730.000000,   730
274,751.000000,   751
275,745.000000,   745
276,737.000000,   737
277,746.000000,   746
278,740.000000,   740
279,753.000000,   753
280,754.000000,   754
281,746.000000,   746
282,743.000000,   743
283,743.000000,   743
284,736.000000,   736
285,743.000000,   743
286,753.000000,   753
287,745.000000,   745
288,749.000000,   749
289,738.000000,   738
290,755.000000,   755
291,750.000000,   750
292,752.000000,   752
293,729.000000,   729
294,734.000000,   734
295,745.000000,   745
296,744.000000,   744
297,745.000000,   745
298,763.000000,   763
299,749.000000,   749
300,739.000000,   739
301,750.000000,   750
302,746.000000,   746
303,748.000000,   748
304,742.000000,   742
305,742.000000,   742
306,736.000000,   736
307,753.000000,   753
308,739.000000,   739
309,739.000000,   739
310,731.000000,   731
311,737.000000,   737
312,741.000000,   741
313,754.000000,   754
314,747.000000,   747
315,741.000000,   741
316,738.000000,   738
317,750.000000,   750
318,755.000000,   755
319,742.000000,   742
320,747.000000,   747
321,742.000000,   742
322,757.000000,   757
323,740.000000,   740
324,746.000000,   746
325,748.000000,   748
326,735.000000,   735
327,744.000000,   744
328,751.000000,   751
329,756.000000,   756
330,740.000000,   740
331,748.000000,   748
332,750.000000,   750
333,754.000000,   754
334,747.000000,   747
335,749.000000,   749
336,749.000000,   749
337,755.000000,   755
338,740.000000,   740
339,736.000000,   736
340,735.000000,   735
341,764.000000,   764
342,756.000000,   756
343,751.000000,   751
344,746.000000,   746
345,742.000000,   742
346,753.000000,   753
347,746.000000,   746
348,746.000000,   746
349,745.000000,   745
350,748.000000,   748
351,745.000000,   745
352,740.000000,   740
353,757.000000,   757
354,759.000000,   759
355,760.000000,   760
356,750.000000,   750
357,754.000000,   754
358,749.000000,   749
359,751.000000,   751
360,747.000000,   747
361,747.000000,   747
362,734.000000,   734
363,740.000000,   740
364,773.000000,   773
365,752.000000,   752
366,735.000000,   735
367,747.000000,   747
368,754.000000,   754
369,742.000000,   742
370,755.000000,   755
371,748.000000,   748
372,759.000000,   759
373,743.000000,   743
374,756.000000,   756
375,743.000000,   743
376,748.000000,   748
377,747.000000,   747
378,736.000000,   736
379,753.000000,   753
380,759.000000,   759
381,769.000000,   769
382,743.000000,   743
383,750.000000,   750
384,742.000000,   742
385,743.000000,   743
386,754.000000,   754
387,746.000000,   746
388,753.000000,   753
389,742.000000,   742
390,758.000000,   758
391,740.000000,   740
392,735.000000,   735
393,743.000000,   743
394,757.000000,   757
395,754.000000,   754
396,738.000000,   738
397,740.000000,   740
398,743.000000,   743
399,759.000000,   759
400,759.000000,   759
401,757.000000,   757
402,758.000000,   758
403,756.000000,   756
404,743.000000,   743
405,745.000000,   745
406,757.000000,   757
407,751.000000,   751
408,758.000000,   758
409,763.000000,   763
410,745.000000,   745
411,763.000000,   763
412,748.000000,   748
413,737.000000,   737
414,747.000000,   747
415,740.000000,   740
416,748.000000,   748
417,747.000000,   747
418,760.000000,   760
419,772.000000,   772
420,744.000000,   744
421,748.000000,   748
422,753.000000,   753
423,744.000000,   744
424,755.000000,   755
425,742.000000,   742
426,749.000000,   749
427,764.000000,   764
428,750.000000,   750
429,747.000000,   747
430,738.000000,   738
431,744.000000,   744
432,735.000000,   735
433,758.000000,   758
434,754.000000,   754
435,750.000000,   750
436,751.000000,   751
437,762.000000,   762
438,772.000000,   772
439,753.000000,   753
440,749.000000,   749
441,756.000000,   756
442,748.000000,   748
443,751.000000,   751
444,743.000000,   743
445,743.000000,   743
446,750.000000,   750
447,749.000000,   749
448,746.000000,   746
449,753.000000,   753
450,756.000000,   756
451,760.000000,   760
452,761.000000,   761
453,740.000000,   740
454,762.000000,   762
455,759.000000,   759
456,761.000000,   761
457,760.000000,   760
458,748.000000,   748
459,754.000000,   754
460,753.000000,   753
461,740.000000,   740
462,762.000000,   762
463,758.000000,   758
464,762.000000,   762
465,744.000000,   744
466,757.000000,   757
467,755.000000,   755
468,753.000000,   753
469,748.000000,   748
470,755.000000,   755
471,764.000000,   764
472,772.000000,   772
473,747.000000,   747
474,760.000000,   760
475,776.000000,   776
476,771.000000,   771
477,768.000000,   768
478,762.000000,   762
479,750.000000,   750
480,746.000000,   746
481,771.000000,   771
482,753.000000,   753
483,755.000000,   755
484,758.000000,   758
485,747.000000,   747
486,767.000000,   767
487,765.000000,   765
488,743.000000,   743
489,765.000000,   765
490,759.000000,   759
491,760.000000,   760
492,772.000000,   772
493,765.000000,   765
494,746.000000,   746
495,749.000000,   749
496,766.000000,   766
497,759.000000,   759
498,759.000000,   759
499,760.000000,   760
500,751.000000,   751
501,779.000000,   779
502,764.000000,   764
503,752.000000,   752
504,746.000000,   746
505,781.000000,   781
506,770.000000,   770
507,762.000000,   762
508,780.000000,   780
509,774.000000,   774
510,773.000000,   773
511,768.000000,   768
512,762.000000,   762
513,759.000000,   759
514,764.000000,   764
515,759.000000,   759
516,760.000000,   760
517,765.000000,   765
518,748.000000,   748
519,761.000000,   761
520,750.000000,   750
521,768.000000,   768
522,753.000000,   753
523,752.000000,   752
524,748.000000,   748
525,753.000000,   753
526,753.000000,   753
527,749.000000,   749
528,772.000000,   772
529,760.000000,   760
530,754.000000,   754
531,762.000000,   762
532,765.000000,   765
533,768.000000,   768
534,760.000000,   760
535,762.000000,   762
536,772.000000,   772
537,755.000000,   755
538,760.000000,   760
539,756.000000,   756
540,755.000000,   755
541,753.000000,   753
542,754.000000,   754
543,761.000000,   761
544,749.000000,   749
545,752.000000,   752
546,755.000000,   755
547,752.000000,   752
548,754.000000,   754
549,753.000000,   753
550,752.000000,   752
551,758.000000,   758
552,771.000000,   771
553,757.000000,   757
554,754.000000,   754
555,762.000000,   762
556,759.000000,   759
557,767.000000,   767
558,759.000000,   759
559,771.000000,   771
560,766.000000,   766
561,767.000000,   767
562,763.000000,   763
563,765.000000,   765
564,750.000000,   750
565,762.000000,   762
566,780.000000,   780
567,778.000000,   778
568,762.000000,   762
569,767.000000,   767
570,759.000000,   759
571,763.000000,   763
572,769.000000,   769
573,769.000000,   769
574,759.000000,   759
575,773.000000,   773
576,770.000000,   770
577,759.000000,   759
578,760.000000,   760
579,771.000000,   771
580,784.000000,   784
581,770.000000,   770
582,773.000000,   773
583,760.000000,   760
584,760.000000,   760
585,764.000000,   764
586,760.000000,   760
587,763.000000,   763
588,770.000000,   770
589,764.000000,   764
590,757.000000,   757
591,767.000000,   767
592,776.000000,   776
593,763.000000,   763
594,761.000000,   761
595,759.000000,   759
596,773.000000,   773
597,758.000000,   758
598,761.000000,   761
599,771.000000,   771
600,757.000000,   757
601,759.000000,   759
602,760.000000,   760
603,748.000000,   748
604,768.000000,   768
605,743.000000,   743
606,768.000000,   768
607,768.000000,   768
608,770.000000,   770
609,762.000000,   762
610,763.000000,   763
611,773.000000,   773
612,774.000000,   774
613,779.000000,   779
614,765.000000,   765
615,757.000000,   757
616,770.000000,   770
617,776.000000,   776
618,773.000000,   773
619,756.000000,   756
620,775.000000,   775
621,776.000000,   776
622,781.000000,   781
623,761.000000,   761
624,768.000000,   768
625,764.000000,   764
626,760.000000,   760
627,749.000000,   749
628,757.000000,   757
629,765.000000,   765
630,771.000000,   771
631,758.000000,   758
632,762.000000,   762
633,763.000000,   763
634,751.000000,   751
635,775.000000,   775
636,762.000000,   762
637,772.000000,   772
638,782.000000,   782
639,758.000000,   758
640,766.000000,   766
641,779.000000,   779
642,762.000000,   762
643,763.000000,   763
644,772.000000,   772
645,766.000000,   766
646,750.000000,   750
647,752.000000,   752
648,767.000000,   767
