Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
0,10392.351,25.000000,    25
1,10368.847,29.000000,    29
2,10345.378,30.000000,    30
3,10321.945,36.000000,    36
4,10298.547,143.000000,   143
5,10275.185,159.000000,   159
6,10251.859,158.000000,   158
7,10228.568,175.000000,   175
8,10205.312,161.000000,   161
9,10182.092,166.000000,   166
10,10158.908,160.000000,   160
11,10135.758,159.000000,   159
12,10112.645,164.000000,   164
13,10089.566,167.000000,   167
14,10066.523,164.000000,   164
15,10043.515,171.000000,   171
16,10020.543,168.000000,   168
17,9997.606,169.000000,   169
18,9974.704,166.000000,   166
19,9951.837,168.000000,   168
20,9929.005,156.000000,   156
21,9906.209,169.000000,   169
22,9883.447,168.000000,   168
23,9860.721,166.000000,   166
24,9838.030,168.000000,   168
25,9815.374,165.000000,   165
26,9792.753,165.000000,   165
27,9770.167,165.000000,   165
28,9747.616,165.000000,   165
29,9725.099,166.000000,   166
30,9702.618,159.000000,   159
31,9680.172,162.000000,   162
32,9657.760,169.000000,   169
33,9635.384,172.000000,   172
34,9613.042,168.000000,   168
35,9590.735,167.000000,   167
36,9568.462,177.000000,   177
37,9546.225,175.000000,   175
38,9524.022,182.000000,   182
39,9501.854,164.000000,   164
40,9479.720,163.000000,   163
41,9457.621,167.000000,   167
42,9435.557,168.000000,   168
43,9413.527,169.000000,   169
44,9391.532,179.000000,   179
45,9369.571,169.000000,   169
46,9347.645,172.000000,   172
47,9325.753,167.000000,   167
48,9303.896,180.000000,   180
49,9282.073,173.000000,   173
50,9260.285,181.000000,   181
51,9238.531,173.000000,   173
52,9216.811,171.000000,   171
53,9195.126,175.000000,   175
54,9173.475,171.000000,   171
55,9151.858,169.000000,   169
56,9130.275,176.000000,   176
57,9108.727,174.000000,   174
58,9087.213,175.000000,   175
59,9065.733,176.000000,   176
60,9044.287,180.000000,   180
61,9022.875,176.000000,   176
62,9001.497,170.000000,   170
63,8980.153,174.000000,   174
64,8958.844,168.000000,   168
65,8937.568,180.000000,   180
66,8916.326,173.000000,   173
67,8895.119,168.000000,   168
68,8873.945,170.000000,   170
69,8852.805,164.000000,   164
70,8831.699,172.000000,   172
71,8810.627,168.000000,   168
72,8789.588,167.000000,   167
73,8768.584,176.000000,   176
74,8747.613,167.000000,   167
75,8726.676,170.000000,   170
76,8705.772,174.000000,   174
77,8684.903,173.000000,   173
78,8664.067,166.000000,   166
79,8643.264,178.000000,   178
80,8622.496,170.000000,   170
81,8601.760,175.000000,   175
82,8581.059,164.000000,   164
83,8560.391,170.000000,   170
84,8539.756,170.000000,   170
85,8519.155,171.000000,   171
86,8498.587,171.000000,   171
87,8478.053,171.000000,   171
88,8457.552,177.000000,   177
89,8437.085,168.000000,   168
90,8416.651,169.000000,   169
91,8396.250,177.000000,   177
92,8375.882,173.000000,   173
93,8355.548,170.000000,   170
94,8335.247,172.000000,   172
95,8314.979,167.000000,   167
96,8294.745,169.000000,   169
97,8274.543,177.000000,   177
