Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
0,2.000,26.000000,    26
1,3.052,23.000000,    23
2,4.218,31.000000,    31
3,5.512,34.000000,    34
4,6.947,556.000000,   556
5,8.537,694.000000,   694
6,10.297,736.000000,   736
7,12.239,737.000000,   737
8,14.378,741.000000,   741
9,16.727,749.000000,   749
10,19.300,742.000000,   742
11,22.111,755.000000,   755
12,25.174,760.000000,   760
13,28.503,754.000000,   754
14,32.111,777.000000,   777
15,36.013,758.000000,   758
16,40.221,774.000000,   774
17,44.750,765.000000,   765
18,49.614,767.000000,   767
19,54.826,753.000000,   753
20,60.400,772.000000,   772
21,66.350,772.000000,   772
22,72.690,768.000000,   768
23,79.434,775.000000,   775
24,86.595,765.000000,   765
25,94.188,758.000000,   758
26,102.225,759.000000,   759
27,110.721,757.000000,   757
28,119.690,772.000000,   772
29,129.145,765.000000,   765
30,139.100,748.000000,   748
31,149.569,742.000000,   742
32,160.566,758.000000,   758
33,172.105,771.000000,   771
34,184.199,757.000000,   757
35,196.863,746.000000,   746
36,210.109,740.000000,   740
37,223.952,748.000000,   748
38,238.406,743.000000,   743
39,253.484,755.000000,   755
40,269.200,727.000000,   727
41,285.568,732.000000,   732
42,302.602,729.000000,   729
43,320.316,731.000000,   731
44,338.723,739.000000,   739
45,357.837,746.000000,   746
46,377.673,730.000000,   730
47,398.243,714.000000,   714
48,419.562,720.000000,   720
49,441.643,717.000000,   717
50,464.500,720.000000,   720
51,488.147,733.000000,   733
52,512.598,710.000000,   710
53,537.867,718.000000,   718
54,563.967,710.000000,   710
55,590.913,696.000000,   696
56,618.717,709.000000,   709
57,647.394,703.000000,   703
58,676.958,703.000000,   703
59,707.422,715.000000,   715
60,738.800,696.000000,   696
61,771.106,705.000000,   705
62,804.354,697.000000,   697
63,838.558,699.000000,   699
64,873.731,694.000000,   694
65,909.887,688.000000,   688
66,947.041,686.000000,   686
67,985.205,714.000000,   714
68,1024.394,692.000000,   692
69,1064.621,700.000000,   700
70,1105.900,691.000000,   691
71,1148.245,685.000000,   685
72,1191.670,681.000000,   681
73,1236.189,689.000000,   689
74,1281.815,697.000000,   697
75,1328.563,685.000000,   685
76,1376.445,685.000000,   685
77,1425.476,683.000000,   683
78,1475.670,697.000000,   697
79,1527.040,687.000000,   687
80,1579.600,682.000000,   682
81,1633.364,696.000000,   696
82,1688.346,687.000000,   687
83,1744.560,681.000000,   681
84,1802.019,678.000000,   678
85,1860.738,687.000000,   687
86,1920.729,685.000000,   685
87,1982.007,700.000000,   700
88,2044.586,679.000000,   679
89,2108.479,680.000000,   680
90,2173.700,686.000000,   686
91,2240.263,692.000000,   692
92,2308.182,685.000000,   685
93,2377.471,695.000000,   695
94,2448.143,694.000000,   694
95,2520.213,684.000000,   684
96,2593.693,675.000000,   675
97,2668.598,687.000000,   687
98,2744.942,686.000000,   686
99,2822.738,684.000000,   684
100,2902.000,708.000000,   708
101,2982.742,703.000000,   703
102,3064.978,703.000000,   703
103,3148.722,690.000000,   690
104,3233.987,696.000000,   696
105,3320.787,688.000000,   688
106,3409.137,685.000000,   685
107,3499.049,704.000000,   704
108,3590.538,696.000000,   696
109,3683.617,693.000000,   693
110,3778.300,691.000000,   691
111,3874.601,678.000000,   678
112,3972.534,689.000000,   689
113,4072.113,690.000000,   690
114,4173.351,692.000000,   692
115,4276.263,692.000000,   692
116,4380.861,687.000000,   687
117,4487.160,687.000000,   687
118,4595.174,697.000000,   697
119,4704.916,699.000000,   699
120,4816.400,699.000000,   699
121,4929.640,705.000000,   705
122,5044.650,708.000000,   708
123,5161.444,682.000000,   682
124,5280.035,694.000000,   694
125,5400.438,696.000000,   696
126,5522.665,699.000000,   699
127,5646.731,695.000000,   695
128,5772.650,695.000000,   695
129,5900.435,689.000000,   689
130,6030.100,704.000000,   704
131,6161.659,704.000000,   704
132,6295.126,698.000000,   698
133,6430.515,689.000000,   689
134,6567.839,698.000000,   698
135,6707.112,696.000000,   696
136,6848.349,699.000000,   699
137,6991.562,701.000000,   701
138,7136.766,695.000000,   695
139,7283.974,700.000000,   700
140,7433.200,703.000000,   703
141,7584.458,704.000000,   704
142,7737.762,685.000000,   685
143,7893.126,711.000000,   711
144,8050.563,702.000000,   702
145,8210.088,686.000000,   686
146,8371.713,693.000000,   693
147,8535.453,695.000000,   695
148,8701.322,699.000000,   699
149,8869.333,690.000000,   690
150,9039.500,702.000000,   702
151,9211.837,702.000000,   702
152,9386.358,699.000000,   699
153,9563.077,718.000000,   718
154,9742.007,695.000000,   695
155,9923.163,704.000000,   704
156,10106.557,706.000000,   706
157,10292.204,695.000000,   695
158,10480.118,690.000000,   690
159,10670.312,695.000000,   695
160,10862.800,692.000000,   692
161,11057.596,699.000000,   699
162,11254.714,715.000000,   715
163,11454.168,708.000000,   708
164,11655.971,699.000000,   699
165,11860.138,699.000000,   699
166,12066.681,698.000000,   698
167,12275.615,692.000000,   692
168,12486.954,705.000000,   705
169,12700.711,681.000000,   681
170,12916.900,704.000000,   704
171,13135.535,691.000000,   691
172,13356.630,699.000000,   699
173,13580.199,707.000000,   707
174,13806.255,705.000000,   705
175,14034.813,705.000000,   705
176,14265.885,710.000000,   710
177,14499.486,697.000000,   697
178,14735.630,688.000000,   688
179,14974.330,708.000000,   708
180,15215.600,698.000000,   698
181,15459.454,700.000000,   700
182,15705.906,719.000000,   719
183,15954.970,698.000000,   698
184,16206.659,707.000000,   707
185,16460.988,694.000000,   694
186,16717.969,709.000000,   709
187,16977.617,694.000000,   694
188,17239.946,695.000000,   695
189,17504.969,705.000000,   705
190,17772.700,689.000000,   689
191,18043.153,697.000000,   697
192,18316.342,704.000000,   704
193,18592.281,692.000000,   692
194,18870.983,697.000000,   697
195,19152.462,712.000000,   712
196,19436.733,710.000000,   710
197,19723.808,709.000000,   709
198,20013.702,719.000000,   719
199,20306.428,720.000000,   720
200,20602.000,694.000000,   694
201,20900.432,715.000000,   715
202,21201.738,688.000000,   688
203,21505.932,684.000000,   684
204,21813.027,700.000000,   700
205,22123.037,703.000000,   703
206,22435.977,703.000000,   703
207,22751.859,710.000000,   710
208,23070.698,714.000000,   714
209,23392.507,696.000000,   696
210,23717.300,698.000000,   698
211,24045.091,703.000000,   703
212,24375.894,705.000000,   705
213,24709.723,702.000000,   702
214,25046.591,702.000000,   702
215,25386.513,710.000000,   710
216,25729.501,707.000000,   707
217,26075.570,713.000000,   713
218,26424.734,707.000000,   707
219,26777.006,693.000000,   693
220,27132.400,696.000000,   696
221,27490.930,696.000000,   696
222,27852.610,706.000000,   706
223,28217.454,722.000000,   722
224,28585.475,702.000000,   702
225,28956.687,706.000000,   706
226,29331.105,708.000000,   708
227,29708.741,716.000000,   716
228,30089.610,701.000000,   701
229,30473.725,707.000000,   707
230,30861.100,705.000000,   705
231,31251.749,706.000000,   706
232,31645.686,687.000000,   687
233,32042.925,700.000000,   700
234,32443.479,683.000000,   683
235,32847.363,698.000000,   698
236,33254.589,703.000000,   703
237,33665.172,707.000000,   707
238,34079.126,708.000000,   708
239,34496.464,691.000000,   691
240,34917.200,708.000000,   708
241,35341.348,699.000000,   699
242,35768.922,700.000000,   700
243,36199.936,718.000000,   718
244,36634.403,708.000000,   708
245,37072.338,701.000000,   701
246,37513.753,701.000000,   701
247,37958.663,710.000000,   710
248,38407.082,707.000000,   707
