WaveLength(nm),Average,SD,RSD,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
2.000,28.100000,3.142893,11.184673,    31,    26,    30,    26,    33,    27,    27,    25,    32,    24
3.052,25.200000,2.936362,11.652230,    25,    22,    21,    28,    29,    24,    26,    29,    22,    26
4.218,29.000000,2.449490,8.446516,    30,    30,    26,    28,    28,    31,    31,    28,    25,    33
5.512,30.200000,3.852849,12.757778,    32,    29,    34,    24,    34,    28,    32,    24,    31,    34
6.947,545.900000,9.182713,1.682124,   553,   555,   553,   555,   537,   535,   537,   556,   542,   536
8.537,673.100000,12.269655,1.822858,   681,   672,   678,   681,   673,   651,   669,   685,   687,   654
10.297,709.600000,15.027382,2.117726,   719,   726,   714,   710,   703,   693,   720,   731,   691,   689
12.239,726.100000,15.169047,2.089113,   734,   739,   736,   723,   719,   693,   731,   745,   729,   712
14.378,728.800000,10.601887,1.454705,   730,   753,   731,   727,   716,   716,   732,   729,   733,   721
16.727,736.100000,12.013418,1.632036,   743,   740,   748,   731,   719,   714,   743,   743,   749,   731
19.300,734.400000,15.196491,2.069239,   744,   750,   745,   714,   727,   711,   740,   755,   736,   722
22.111,739.700000,15.304683,2.069039,   750,   752,   761,   722,   733,   714,   750,   745,   745,   725
25.174,738.000000,16.832508,2.280828,   741,   751,   754,   733,   718,   706,   754,   757,   733,   733
28.503,741.500000,16.694976,2.251514,   737,   765,   758,   741,   719,   712,   743,   753,   752,   735
32.111,745.000000,14.298407,1.919249,   748,   763,   764,   723,   737,   731,   749,   761,   738,   736
36.013,746.800000,19.543683,2.616990,   748,   768,   763,   736,   717,   723,   764,   772,   745,   732
40.221,750.700000,15.477941,2.061801,   751,   755,   754,   758,   730,   720,   761,   774,   757,   747
44.750,748.900000,13.362052,1.784224,   764,   762,   764,   733,   740,   733,   749,   762,   748,   734
49.614,750.400000,16.372063,2.181778,   758,   770,   760,   747,   747,   717,   747,   769,   757,   732
54.826,753.900000,13.698743,1.817050,   772,   750,   765,   740,   754,   740,   766,   764,   758,   730
60.400,754.400000,11.471704,1.520639,   764,   766,   760,   749,   736,   739,   770,   760,   752,   748
66.350,752.700000,14.095310,1.872633,   765,   763,   766,   743,   742,   733,   764,   768,   750,   733
72.690,753.800000,15.845083,2.102028,   761,   779,   771,   747,   743,   727,   762,   760,   751,   737
79.434,751.700000,13.671137,1.818696,   757,   774,   762,   745,   749,   725,   758,   757,   753,   737
86.595,755.000000,14.636332,1.938587,   767,   764,   762,   739,   738,   727,   763,   769,   762,   759
94.188,751.800000,13.546627,1.801892,   755,   767,   760,   746,   734,   735,   766,   770,   744,   741
102.225,752.600000,13.745302,1.826376,   745,   765,   776,   744,   741,   740,   758,   769,   752,   736
110.721,750.700000,16.432015,2.188892,   753,   778,   765,   728,   736,   730,   754,   766,   754,   743
119.690,753.400000,13.607188,1.806104,   766,   765,   755,   751,   739,   730,   775,   760,   748,   745
129.145,745.700000,12.392202,1.661821,   753,   757,   752,   727,   732,   733,   757,   763,   741,   742
139.100,745.000000,11.284207,1.514659,   738,   756,   746,   723,   745,   748,   751,   764,   736,   743
149.569,747.000000,12.128937,1.623686,   759,   757,   764,   746,   733,   735,   751,   756,   739,   730
160.566,743.100000,16.663000,2.242363,   742,   754,   760,   744,   717,   720,   765,   758,   730,   741
172.105,748.000000,14.522014,1.941446,   765,   750,   756,   744,   729,   743,   753,   771,   745,   724
184.199,739.400000,11.796421,1.595405,   747,   755,   752,   731,   727,   719,   741,   744,   747,   731
196.863,742.200000,13.717791,1.848261,   743,   757,   754,   725,   724,   730,   749,   764,   737,   739
210.109,741.900000,17.355435,2.339323,   742,   761,   774,   732,   729,   718,   737,   758,   740,   728
223.952,736.300000,16.793186,2.280753,   749,   742,   748,   728,   718,   711,   748,   754,   751,   714
238.406,735.800000,18.467990,2.509920,   744,   736,   753,   732,   715,   705,   756,   749,   753,   715
253.484,730.000000,18.565200,2.543178,   749,   753,   737,   712,   713,   717,   736,   751,   732,   700
269.200,730.200000,11.849051,1.622713,   731,   745,   739,   733,   730,   712,   736,   740,   728,   708
285.568,727.500000,15.493726,2.129722,   726,   727,   753,   727,   720,   705,   735,   739,   740,   703
302.602,721.200000,18.195237,2.522911,   732,   738,   745,   695,   713,   708,   731,   739,   715,   696
320.316,723.900000,13.641847,1.884493,   718,   742,   741,   715,   711,   709,   735,   738,   721,   709
338.723,719.100000,12.600265,1.752227,   721,   734,   727,   705,   709,   708,   734,   732,   720,   701
357.837,714.900000,12.905210,1.805177,   726,   727,   727,   696,   709,   697,   719,   726,   721,   701
377.673,713.700000,14.757672,2.067770,   732,   730,   722,   707,   691,   695,   725,   718,   718,   699
398.243,711.300000,11.566715,1.626137,   716,   717,   717,   700,   698,   696,   716,   729,   723,   701
419.562,716.900000,13.160969,1.835817,   722,   721,   730,   716,   694,   702,   712,   739,   723,   710
