Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
0,2.000,33.000000,    33
1,3.052,28.000000,    28
2,4.218,28.000000,    28
3,5.512,28.000000,    28
4,6.947,558.000000,   558
5,8.537,701.000000,   701
6,10.297,730.000000,   730
7,12.239,756.000000,   756
8,14.378,739.000000,   739
9,16.727,752.000000,   752
10,19.300,768.000000,   768
11,22.111,752.000000,   752
12,25.174,772.000000,   772
13,28.503,778.000000,   778
14,32.111,768.000000,   768
15,36.013,784.000000,   784
16,40.221,780.000000,   780
17,44.750,779.000000,   779
18,49.614,790.000000,   790
19,54.826,788.000000,   788
20,60.400,774.000000,   774
21,66.350,777.000000,   777
22,72.690,777.000000,   777
23,79.434,785.000000,   785
24,86.595,778.000000,   778
25,94.188,777.000000,   777
26,102.225,767.000000,   767
27,110.721,768.000000,   768
28,119.690,768.000000,   768
29,129.145,778.000000,   778
30,139.100,762.000000,   762
31,149.569,766.000000,   766
32,160.566,770.000000,   770
33,172.105,764.000000,   764
34,184.199,766.000000,   766
35,196.863,751.000000,   751
36,210.109,764.000000,   764
37,223.952,747.000000,   747
38,238.406,751.000000,   751
39,253.484,775.000000,   775
40,269.200,760.000000,   760
41,285.568,746.000000,   746
42,302.602,737.000000,   737
43,320.316,762.000000,   762
44,338.723,743.000000,   743
45,357.837,747.000000,   747
46,377.673,748.000000,   748
47,398.243,741.000000,   741
48,419.562,736.000000,   736
49,441.643,739.000000,   739
50,464.500,724.000000,   724
51,488.147,732.000000,   732
52,512.598,721.000000,   721
53,537.867,719.000000,   719
54,563.967,713.000000,   713
55,590.913,704.000000,   704
56,618.717,708.000000,   708
57,647.394,715.000000,   715
58,676.958,726.000000,   726
59,707.422,718.000000,   718
60,738.800,711.000000,   711
61,771.106,704.000000,   704
62,804.354,722.000000,   722
63,838.558,717.000000,   717
64,873.731,704.000000,   704
65,909.887,716.000000,   716
66,947.041,720.000000,   720
67,985.205,706.000000,   706
68,1024.394,703.000000,   703
69,1064.621,706.000000,   706
70,1105.900,691.000000,   691
71,1148.245,694.000000,   694
72,1191.670,712.000000,   712
73,1236.189,693.000000,   693
74,1281.815,696.000000,   696
75,1328.563,719.000000,   719
76,1376.445,706.000000,   706
77,1425.476,693.000000,   693
78,1475.670,700.000000,   700
79,1527.040,699.000000,   699
80,1579.600,700.000000,   700
81,1633.364,703.000000,   703
82,1688.346,695.000000,   695
83,1744.560,714.000000,   714
84,1802.019,695.000000,   695
85,1860.738,701.000000,   701
86,1920.729,693.000000,   693
87,1982.007,696.000000,   696
88,2044.586,697.000000,   697
89,2108.479,700.000000,   700
90,2173.700,700.000000,   700
91,2240.263,687.000000,   687
92,2308.182,704.000000,   704
93,2377.471,711.000000,   711
94,2448.143,706.000000,   706
95,2520.213,697.000000,   697
96,2593.693,696.000000,   696
97,2668.598,701.000000,   701
98,2744.942,705.000000,   705
99,2822.738,705.000000,   705
100,2902.000,701.000000,   701
101,2982.742,699.000000,   699
102,3064.978,702.000000,   702
103,3148.722,712.000000,   712
104,3233.987,702.000000,   702
105,3320.787,691.000000,   691
106,3409.137,700.000000,   700
107,3499.049,714.000000,   714
108,3590.538,705.000000,   705
109,3683.617,724.000000,   724
110,3778.300,715.000000,   715
111,3874.601,704.000000,   704
112,3972.534,716.000000,   716
113,4072.113,727.000000,   727
114,4173.351,722.000000,   722
115,4276.263,711.000000,   711
116,4380.861,716.000000,   716
117,4487.160,696.000000,   696
118,4595.174,712.000000,   712
119,4704.916,714.000000,   714
120,4816.400,702.000000,   702
121,4929.640,714.000000,   714
122,5044.650,705.000000,   705
123,5161.444,695.000000,   695
124,5280.035,703.000000,   703
125,5400.438,711.000000,   711
126,5522.665,701.000000,   701
127,5646.731,703.000000,   703
128,5772.650,701.000000,   701
129,5900.435,708.000000,   708
130,6030.100,709.000000,   709
131,6161.659,708.000000,   708
132,6295.126,707.000000,   707
133,6430.515,713.000000,   713
134,6567.839,699.000000,   699
135,6707.112,706.000000,   706
136,6848.349,717.000000,   717
137,6991.562,711.000000,   711
138,7136.766,712.000000,   712
139,7283.974,711.000000,   711
140,7433.200,726.000000,   726
141,7584.458,706.000000,   706
142,7737.762,699.000000,   699
143,7893.126,717.000000,   717
144,8050.563,715.000000,   715
145,8210.088,711.000000,   711
146,8371.713,717.000000,   717
147,8535.453,713.000000,   713
148,8701.322,707.000000,   707
149,8869.333,699.000000,   699
150,9039.500,713.000000,   713
151,9211.837,704.000000,   704
152,9386.358,705.000000,   705
153,9563.077,719.000000,   719
154,9742.007,716.000000,   716
155,9923.163,712.000000,   712
156,10106.557,713.000000,   713
157,10292.204,701.000000,   701
158,10480.118,710.000000,   710
159,10670.312,708.000000,   708
160,10862.800,713.000000,   713
161,11057.596,717.000000,   717
162,11254.714,716.000000,   716
163,11454.168,706.000000,   706
164,11655.971,725.000000,   725
165,11860.138,719.000000,   719
166,12066.681,733.000000,   733
167,12275.615,714.000000,   714
168,12486.954,706.000000,   706
169,12700.711,722.000000,   722
170,12916.900,718.000000,   718
171,13135.535,726.000000,   726
172,13356.630,722.000000,   722
173,13580.199,709.000000,   709
174,13806.255,732.000000,   732
175,14034.813,705.000000,   705
176,14265.885,714.000000,   714
177,14499.486,717.000000,   717
178,14735.630,713.000000,   713
179,14974.330,711.000000,   711
180,15215.600,723.000000,   723
181,15459.454,731.000000,   731
182,15705.906,714.000000,   714
183,15954.970,703.000000,   703
184,16206.659,723.000000,   723
185,16460.988,719.000000,   719
186,16717.969,714.000000,   714
187,16977.617,731.000000,   731
188,17239.946,715.000000,   715
189,17504.969,693.000000,   693
190,17772.700,722.000000,   722
191,18043.153,700.000000,   700
192,18316.342,721.000000,   721
193,18592.281,718.000000,   718
194,18870.983,723.000000,   723
195,19152.462,734.000000,   734
196,19436.733,722.000000,   722
197,19723.808,719.000000,   719
198,20013.702,705.000000,   705
199,20306.428,728.000000,   728
200,20602.000,722.000000,   722
201,20900.432,708.000000,   708
202,21201.738,705.000000,   705
203,21505.932,703.000000,   703
204,21813.027,720.000000,   720
205,22123.037,715.000000,   715
206,22435.977,723.000000,   723
207,22751.859,709.000000,   709
208,23070.698,721.000000,   721
209,23392.507,726.000000,   726
210,23717.300,713.000000,   713
211,24045.091,726.000000,   726
212,24375.894,718.000000,   718
213,24709.723,722.000000,   722
214,25046.591,723.000000,   723
215,25386.513,714.000000,   714
216,25729.501,710.000000,   710
217,26075.570,719.000000,   719
218,26424.734,713.000000,   713
219,26777.006,718.000000,   718
220,27132.400,718.000000,   718
221,27490.930,727.000000,   727
222,27852.610,727.000000,   727
223,28217.454,728.000000,   728
224,28585.475,720.000000,   720
225,28956.687,714.000000,   714
226,29331.105,717.000000,   717
227,29708.741,712.000000,   712
228,30089.610,728.000000,   728
229,30473.725,719.000000,   719
230,30861.100,699.000000,   699
231,31251.749,720.000000,   720
232,31645.686,726.000000,   726
233,32042.925,714.000000,   714
234,32443.479,724.000000,   724
235,32847.363,706.000000,   706
236,33254.589,734.000000,   734
237,33665.172,724.000000,   724
238,34079.126,721.000000,   721
239,34496.464,722.000000,   722
240,34917.200,729.000000,   729
241,35341.348,721.000000,   721
242,35768.922,717.000000,   717
243,36199.936,715.000000,   715
244,36634.403,713.000000,   713
245,37072.338,728.000000,   728
246,37513.753,737.000000,   737
247,37958.663,716.000000,   716
248,38407.082,724.000000,   724
249,38859.023,728.000000,   728
250,39314.500,731.000000,   731
251,39773.527,727.000000,   727
252,40236.118,716.000000,   716
253,40702.287,719.000000,   719
254,41172.047,721.000000,   721
255,41645.412,742.000000,   742
256,42122.397,735.000000,   735
257,42603.014,726.000000,   726
258,43087.278,717.000000,   717
259,43575.202,731.000000,   731
260,44066.800,716.000000,   716
261,44562.086,742.000000,   742
262,45061.074,725.000000,   725
263,45563.778,722.000000,   722
264,46070.211,732.000000,   732
265,46580.388,715.000000,   715
266,47094.321,719.000000,   719
267,47612.025,725.000000,   725
268,48133.514,731.000000,   731
269,48658.801,710.000000,   710
270,49187.900,703.000000,   703
271,49720.825,717.000000,   717
272,50257.590,731.000000,   731
273,50798.209,731.000000,   731
274,51342.695,745.000000,   745
275,51891.063,720.000000,   720
276,52443.325,729.000000,   729
277,52999.496,705.000000,   705
278,53559.590,736.000000,   736
279,54123.620,714.000000,   714
280,54691.600,721.000000,   721
281,55263.544,711.000000,   711
282,55839.466,726.000000,   726
283,56419.380,724.000000,   724
284,57003.299,733.000000,   733
285,57591.237,724.000000,   724
286,58183.209,745.000000,   745
287,58779.227,718.000000,   718
288,59379.306,739.000000,   739
289,59983.459,725.000000,   725
290,60591.700,731.000000,   731
291,61204.043,721.000000,   721
292,61820.502,732.000000,   732
293,62441.091,723.000000,   723
294,63065.823,719.000000,   719
295,63694.713,740.000000,   740
296,64327.773,717.000000,   717
297,64965.018,728.000000,   728
298,65606.462,728.000000,   728
299,66252.118,721.000000,   721
300,66902.000,712.000000,   712
301,67556.122,730.000000,   730
302,68214.498,717.000000,   717
303,68877.142,720.000000,   720
304,69544.067,732.000000,   732
305,70215.288,731.000000,   731
306,70890.817,742.000000,   742
307,71570.669,716.000000,   716
308,72254.858,728.000000,   728
309,72943.397,745.000000,   745
310,73636.300,742.000000,   742
311,74333.581,742.000000,   742
312,75035.254,722.000000,   722
313,75741.333,724.000000,   724
314,76451.831,719.000000,   719
315,77166.762,733.000000,   733
316,77886.141,725.000000,   725
317,78609.980,721.000000,   721
318,79338.294,722.000000,   722
319,80071.096,733.000000,   733
320,80808.400,741.000000,   741
321,81550.220,733.000000,   733
322,82296.570,734.000000,   734
323,83047.464,743.000000,   743
324,83802.915,732.000000,   732
325,84562.937,735.000000,   735
326,85327.545,724.000000,   724
327,86096.751,736.000000,   736
328,86870.570,719.000000,   719
329,87649.015,730.000000,   730
330,88432.100,730.000000,   730
331,89219.839,737.000000,   737
332,90012.246,732.000000,   732
333,90809.335,739.000000,   739
334,91611.119,733.000000,   733
335,92417.613,733.000000,   733
336,93228.829,720.000000,   720
337,94044.782,725.000000,   725
338,94865.486,706.000000,   706
339,95690.954,721.000000,   721
340,96521.200,740.000000,   740
341,97356.238,731.000000,   731
342,98196.082,728.000000,   728
343,99040.746,717.000000,   717
344,99890.243,729.000000,   729
345,100744.587,735.000000,   735
346,101603.793,743.000000,   743
347,102467.873,736.000000,   736
348,103336.842,747.000000,   747
349,104210.713,749.000000,   749
350,105089.500,737.000000,   737
351,105973.217,742.000000,   742
352,106861.878,735.000000,   735
353,107755.497,737.000000,   737
354,108654.087,744.000000,   744
355,109557.663,741.000000,   741
356,110466.237,744.000000,   744
357,111379.824,750.000000,   750
358,112298.438,728.000000,   728
359,113222.092,733.000000,   733
360,114150.800,736.000000,   736
361,115084.576,729.000000,   729
362,116023.434,744.000000,   744
363,116967.388,723.000000,   723
364,117916.451,731.000000,   731
365,118870.638,731.000000,   731
366,119829.961,722.000000,   722
367,120794.435,737.000000,   737
368,121764.074,742.000000,   742
369,122738.891,726.000000,   726
370,123718.900,740.000000,   740
371,124704.115,734.000000,   734
372,125694.550,738.000000,   738
373,126690.219,745.000000,   745
374,127691.135,745.000000,   745
375,128697.313,744.000000,   744
376,129708.765,747.000000,   747
377,130725.506,734.000000,   734
378,131747.550,732.000000,   732
379,132774.910,735.000000,   735
380,133807.600,736.000000,   736
381,134845.634,734.000000,   734
382,135889.026,735.000000,   735
383,136937.790,724.000000,   724
384,137991.939,734.000000,   734
385,139051.487,744.000000,   744
386,140116.449,739.000000,   739
387,141186.837,734.000000,   734
388,142262.666,729.000000,   729
389,143343.949,725.000000,   725
390,144430.700,722.000000,   722
391,145522.933,732.000000,   732
392,146620.662,738.000000,   738
393,147723.901,729.000000,   729
394,148832.663,726.000000,   726
395,149946.962,730.000000,   730
396,151066.813,730.000000,   730
397,152192.228,741.000000,   741
398,153323.222,750.000000,   750
399,154459.808,738.000000,   738
400,155602.000,747.000000,   747
401,156749.812,731.000000,   731
402,157903.258,736.000000,   736
403,159062.352,722.000000,   722
404,160227.107,727.000000,   727
405,161397.538,737.000000,   737
406,162573.657,717.000000,   717
407,163755.479,734.000000,   734
408,164943.018,731.000000,   731
409,166136.287,739.000000,   739
410,167335.300,721.000000,   721
411,168540.071,735.000000,   735
412,169750.614,738.000000,   738
413,170966.943,742.000000,   742
414,172189.071,742.000000,   742
415,173417.013,735.000000,   735
416,174650.781,741.000000,   741
417,175890.390,736.000000,   736
418,177135.854,726.000000,   726
419,178387.186,732.000000,   732
420,179644.400,737.000000,   737
421,180907.510,744.000000,   744
422,182176.530,732.000000,   732
423,183451.474,730.000000,   730
424,184732.355,744.000000,   744
425,186019.188,742.000000,   742
426,187311.985,734.000000,   734
427,188610.761,737.000000,   737
428,189915.530,737.000000,   737
429,191226.305,727.000000,   727
430,192543.100,729.000000,   729
431,193865.929,741.000000,   741
432,195194.806,738.000000,   738
