Average,L1
20.000000,    20
22.000000,    22
20.000000,    20
28.000000,    28
260.000000,   260
317.000000,   317
335.000000,   335
341.000000,   341
334.000000,   334
335.000000,   335
330.000000,   330
341.000000,   341
340.000000,   340
345.000000,   345
335.000000,   335
337.000000,   337
342.000000,   342
342.000000,   342
344.000000,   344
346.000000,   346
343.000000,   343
349.000000,   349
353.000000,   353
343.000000,   343
346.000000,   346
346.000000,   346
343.000000,   343
342.000000,   342
337.000000,   337
352.000000,   352
347.000000,   347
335.000000,   335
336.000000,   336
350.000000,   350
348.000000,   348
338.000000,   338
352.000000,   352
349.000000,   349
352.000000,   352
353.000000,   353
344.000000,   344
341.000000,   341
344.000000,   344
348.000000,   348
341.000000,   341
346.000000,   346
354.000000,   354
343.000000,   343
354.000000,   354
346.000000,   346
358.000000,   358
352.000000,   352
357.000000,   357
354.000000,   354
344.000000,   344
349.000000,   349
357.000000,   357
354.000000,   354
358.000000,   358
357.000000,   357
352.000000,   352
349.000000,   349
348.000000,   348
338.000000,   338
338.000000,   338
345.000000,   345
350.000000,   350
345.000000,   345
350.000000,   350
361.000000,   361
348.000000,   348
352.000000,   352
349.000000,   349
348.000000,   348
355.000000,   355
350.000000,   350
345.000000,   345
349.000000,   349
351.000000,   351
353.000000,   353
356.000000,   356
353.000000,   353
346.000000,   346
339.000000,   339
355.000000,   355
355.000000,   355
345.000000,   345
349.000000,   349
349.000000,   349
344.000000,   344
350.000000,   350
361.000000,   361
360.000000,   360
346.000000,   346
337.000000,   337
350.000000,   350
352.000000,   352
368.000000,   368
360.000000,   360
355.000000,   355
353.000000,   353
348.000000,   348
355.000000,   355
350.000000,   350
352.000000,   352
348.000000,   348
354.000000,   354
360.000000,   360
361.000000,   361
364.000000,   364
350.000000,   350
363.000000,   363
350.000000,   350
351.000000,   351
348.000000,   348
356.000000,   356
353.000000,   353
365.000000,   365
358.000000,   358
362.000000,   362
357.000000,   357
363.000000,   363
357.000000,   357
348.000000,   348
360.000000,   360
358.000000,   358
363.000000,   363
370.000000,   370
358.000000,   358
360.000000,   360
349.000000,   349
356.000000,   356
350.000000,   350
364.000000,   364
360.000000,   360
359.000000,   359
371.000000,   371
371.000000,   371
360.000000,   360
366.000000,   366
362.000000,   362
355.000000,   355
355.000000,   355
364.000000,   364
374.000000,   374
360.000000,   360
353.000000,   353
360.000000,   360
356.000000,   356
362.000000,   362
362.000000,   362
350.000000,   350
366.000000,   366
374.000000,   374
366.000000,   366
369.000000,   369
365.000000,   365
359.000000,   359
365.000000,   365
367.000000,   367
363.000000,   363
361.000000,   361
353.000000,   353
368.000000,   368
359.000000,   359
367.000000,   367
364.000000,   364
366.000000,   366
364.000000,   364
369.000000,   369
358.000000,   358
379.000000,   379
363.000000,   363
365.000000,   365
370.000000,   370
365.000000,   365
354.000000,   354
352.000000,   352
362.000000,   362
363.000000,   363
359.000000,   359
368.000000,   368
361.000000,   361
372.000000,   372
368.000000,   368
364.000000,   364
366.000000,   366
377.000000,   377
354.000000,   354
365.000000,   365
373.000000,   373
361.000000,   361
364.000000,   364
373.000000,   373
368.000000,   368
363.000000,   363
373.000000,   373
369.000000,   369
367.000000,   367
377.000000,   377
375.000000,   375
376.000000,   376
364.000000,   364
380.000000,   380
370.000000,   370
363.000000,   363
368.000000,   368
368.000000,   368
375.000000,   375
372.000000,   372
380.000000,   380
377.000000,   377
369.000000,   369
360.000000,   360
364.000000,   364
364.000000,   364
369.000000,   369
378.000000,   378
377.000000,   377
373.000000,   373
370.000000,   370
370.000000,   370
364.000000,   364
371.000000,   371
373.000000,   373
373.000000,   373
365.000000,   365
371.000000,   371
376.000000,   376
370.000000,   370
367.000000,   367
361.000000,   361
372.000000,   372
376.000000,   376
366.000000,   366
377.000000,   377
375.000000,   375
371.000000,   371
370.000000,   370
382.000000,   382
380.000000,   380
372.000000,   372
367.000000,   367
376.000000,   376
372.000000,   372
372.000000,   372
374.000000,   374
370.000000,   370
372.000000,   372
380.000000,   380
369.000000,   369
366.000000,   366
381.000000,   381
380.000000,   380
376.000000,   376
370.000000,   370
370.000000,   370
375.000000,   375
366.000000,   366
376.000000,   376
372.000000,   372
374.000000,   374
374.000000,   374
362.000000,   362
377.000000,   377
371.000000,   371
364.000000,   364
382.000000,   382
387.000000,   387
368.000000,   368
370.000000,   370
365.000000,   365
374.000000,   374
368.000000,   368
382.000000,   382
384.000000,   384
379.000000,   379
380.000000,   380
377.000000,   377
380.000000,   380
378.000000,   378
372.000000,   372
382.000000,   382
380.000000,   380
391.000000,   391
372.000000,   372
378.000000,   378
390.000000,   390
384.000000,   384
386.000000,   386
383.000000,   383
384.000000,   384
392.000000,   392
370.000000,   370
367.000000,   367
380.000000,   380
386.000000,   386
384.000000,   384
381.000000,   381
379.000000,   379
386.000000,   386
373.000000,   373
386.000000,   386
385.000000,   385
374.000000,   374
372.000000,   372
382.000000,   382
379.000000,   379
382.000000,   382
380.000000,   380
378.000000,   378
386.000000,   386
381.000000,   381
380.000000,   380
386.000000,   386
391.000000,   391
379.000000,   379
386.000000,   386
379.000000,   379
386.000000,   386
372.000000,   372
383.000000,   383
389.000000,   389
392.000000,   392
383.000000,   383
384.000000,   384
385.000000,   385
382.000000,   382
387.000000,   387
382.000000,   382
390.000000,   390
397.000000,   397
385.000000,   385
378.000000,   378
391.000000,   391
381.000000,   381
393.000000,   393
382.000000,   382
388.000000,   388
390.000000,   390
401.000000,   401
386.000000,   386
388.000000,   388
393.000000,   393
381.000000,   381
392.000000,   392
389.000000,   389
396.000000,   396
379.000000,   379
377.000000,   377
395.000000,   395
387.000000,   387
390.000000,   390
380.000000,   380
385.000000,   385
386.000000,   386
388.000000,   388
400.000000,   400
392.000000,   392
395.000000,   395
395.000000,   395
399.000000,   399
394.000000,   394
387.000000,   387
404.000000,   404
401.000000,   401
386.000000,   386
388.000000,   388
393.000000,   393
394.000000,   394
399.000000,   399
401.000000,   401
396.000000,   396
393.000000,   393
408.000000,   408
408.000000,   408
399.000000,   399
400.000000,   400
385.000000,   385
386.000000,   386
401.000000,   401
386.000000,   386
396.000000,   396
399.000000,   399
413.000000,   413
401.000000,   401
398.000000,   398
403.000000,   403
385.000000,   385
386.000000,   386
398.000000,   398
389.000000,   389
398.000000,   398
402.000000,   402
401.000000,   401
392.000000,   392
391.000000,   391
396.000000,   396
399.000000,   399
407.000000,   407
404.000000,   404
394.000000,   394
401.000000,   401
403.000000,   403
407.000000,   407
393.000000,   393
401.000000,   401
406.000000,   406
401.000000,   401
406.000000,   406
405.000000,   405
411.000000,   411
415.000000,   415
405.000000,   405
419.000000,   419
412.000000,   412
409.000000,   409
403.000000,   403
404.000000,   404
405.000000,   405
409.000000,   409
405.000000,   405
396.000000,   396
401.000000,   401
394.000000,   394
405.000000,   405
414.000000,   414
414.000000,   414
404.000000,   404
400.000000,   400
396.000000,   396
410.000000,   410
401.000000,   401
416.000000,   416
405.000000,   405
409.000000,   409
406.000000,   406
403.000000,   403
401.000000,   401
407.000000,   407
415.000000,   415
415.000000,   415
413.000000,   413
409.000000,   409
410.000000,   410
413.000000,   413
399.000000,   399
410.000000,   410
410.000000,   410
415.000000,   415
406.000000,   406
419.000000,   419
415.000000,   415
416.000000,   416
412.000000,   412
406.000000,   406
418.000000,   418
422.000000,   422
413.000000,   413
411.000000,   411
413.000000,   413
420.000000,   420
417.000000,   417
423.000000,   423
410.000000,   410
407.000000,   407
412.000000,   412
417.000000,   417
422.000000,   422
413.000000,   413
417.000000,   417
413.000000,   413
419.000000,   419
419.000000,   419
410.000000,   410
409.000000,   409
409.000000,   409
415.000000,   415
413.000000,   413
404.000000,   404
415.000000,   415
419.000000,   419
417.000000,   417
425.000000,   425
433.000000,   433
426.000000,   426
