Average,SD,RSD,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50
24.080000,3.439506,14.283664,    21,    24,    27,    18,    24,    22,    23,    23,    26,    21,    24,    26,    24,    21,    25,    23,    17,    26,    19,    23,    23,    29,    17,    19,    27,    29,    26,    19,    26,    25,    23,    29,    29,    23,    28,    26,    21,    23,    27,    24,    23,    25,    31,    32,    24,    21,    26,    20,    25,    27
22.460000,3.423866,15.244282,    21,    23,    24,    23,    18,    20,    22,    25,    21,    25,    18,    25,    20,    21,    23,    25,    18,    25,    23,    18,    20,    19,    24,    23,    24,    15,    29,    21,    23,    23,    21,    25,    15,    27,    21,    19,    27,    15,    29,    25,    26,    21,    27,    20,    28,    23,    22,    22,    25,    26
27.100000,3.850523,14.208574,    27,    28,    25,    24,    25,    20,    40,    23,    24,    23,    29,    30,    28,    30,    28,    29,    35,    26,    34,    32,    28,    23,    31,    25,    33,    23,    27,    25,    25,    28,    30,    31,    26,    29,    26,    22,    29,    27,    30,    24,    25,    25,    26,    26,    29,    24,    26,    22,    30,    20
28.480000,3.604079,12.654773,    26,    25,    27,    25,    33,    27,    27,    28,    24,    28,    28,    34,    32,    22,    34,    27,    24,    21,    29,    27,    31,    27,    27,    34,    36,    31,    30,    31,    22,    32,    32,    25,    30,    28,    30,    26,    30,    28,    33,    31,    25,    29,    29,    34,    34,    23,    30,    25,    28,    25
1864.060000,16.312522,0.875107,  1944,  1872,  1866,  1863,  1862,  1889,  1875,  1868,  1862,  1866,  1858,  1878,  1843,  1865,  1853,  1877,  1873,  1860,  1859,  1882,  1848,  1849,  1865,  1867,  1841,  1872,  1849,  1868,  1853,  1841,  1847,  1849,  1879,  1858,  1848,  1879,  1864,  1865,  1859,  1866,  1853,  1878,  1881,  1859,  1862,  1847,  1866,  1857,  1866,  1852
2363.460000,17.819057,0.753939,  2444,  2355,  2368,  2365,  2357,  2380,  2356,  2384,  2356,  2360,  2365,  2353,  2372,  2342,  2365,  2370,  2383,  2350,  2349,  2351,  2358,  2373,  2355,  2380,  2374,  2341,  2359,  2377,  2344,  2328,  2340,  2349,  2367,  2385,  2342,  2370,  2357,  2373,  2356,  2361,  2351,  2365,  2394,  2365,  2372,  2365,  2352,  2365,  2378,  2352
2512.560000,17.006793,0.676871,  2585,  2500,  2526,  2538,  2539,  2501,  2494,  2511,  2493,  2516,  2494,  2520,  2529,  2491,  2500,  2502,  2525,  2527,  2497,  2498,  2496,  2510,  2502,  2497,  2520,  2505,  2496,  2520,  2511,  2498,  2501,  2512,  2511,  2524,  2530,  2517,  2529,  2502,  2506,  2506,  2512,  2496,  2526,  2526,  2505,  2521,  2496,  2528,  2505,  2534
2561.020000,18.808910,0.734430,  2670,  2573,  2561,  2578,  2567,  2565,  2576,  2561,  2546,  2559,  2551,  2564,  2564,  2566,  2556,  2532,  2541,  2556,  2546,  2545,  2550,  2581,  2543,  2547,  2556,  2562,  2564,  2548,  2547,  2560,  2569,  2568,  2550,  2556,  2564,  2555,  2567,  2569,  2548,  2568,  2564,  2563,  2573,  2547,  2563,  2552,  2562,  2565,  2552,  2561
2578.880000,19.620522,0.760816,  2680,  2589,  2571,  2577,  2583,  2584,  2579,  2587,  2568,  2568,  2565,  2594,  2582,  2579,  2556,  2571,  2562,  2589,  2579,  2555,  2551,  2581,  2566,  2578,  2576,  2564,  2545,  2578,  2575,  2589,  2574,  2573,  2600,  2584,  2589,  2590,  2571,  2586,  2588,  2576,  2579,  2575,  2616,  2569,  2587,  2576,  2547,  2576,  2591,  2576
2584.940000,19.180571,0.742012,  2664,  2603,  2586,  2595,  2607,  2605,  2572,  2587,  2568,  2589,  2582,  2624,  2573,  2579,  2589,  2567,  2585,  2607,  2566,  2581,  2574,  2548,  2603,  2578,  2587,  2588,  2583,  2586,  2576,  2582,  2596,  2589,  2579,  2551,  2577,  2580,  2599,  2574,  2606,  2554,  2587,  2579,  2580,  2566,  2577,  2558,  2594,  2569,  2603,  2595
2596.360000,17.740488,0.683283,  2679,  2607,  2607,  2606,  2602,  2590,  2599,  2610,  2598,  2607,  2605,  2610,  2598,  2579,  2594,  2579,  2607,  2587,  2604,  2593,  2562,  2602,  2616,  2585,  2596,  2616,  2594,  2596,  2586,  2567,  2582,  2586,  2603,  2593,  2599,  2585,  2574,  2564,  2598,  2598,  2573,  2584,  2596,  2611,  2593,  2589,  2599,  2593,  2621,  2596
2598.200000,17.745364,0.682987,  2678,  2589,  2595,  2607,  2609,  2599,  2600,  2609,  2590,  2603,  2635,  2597,  2604,  2590,  2602,  2593,  2593,  2562,  2583,  2595,  2615,  2609,  2580,  2601,  2570,  2604,  2601,  2591,  2582,  2591,  2615,  2577,  2605,  2599,  2594,  2592,  2589,  2586,  2603,  2571,  2579,  2579,  2605,  2606,  2599,  2614,  2603,  2590,  2608,  2619
2595.520000,16.495194,0.635526,  2661,  2599,  2588,  2605,  2614,  2603,  2602,  2603,  2589,  2590,  2592,  2606,  2595,  2594,  2592,  2589,  2603,  2600,  2579,  2567,  2609,  2628,  2594,  2587,  2583,  2550,  2586,  2574,  2595,  2574,  2598,  2579,  2602,  2603,  2599,  2580,  2600,  2603,  2603,  2588,  2578,  2604,  2593,  2575,  2604,  2599,  2611,  2588,  2604,  2614
